rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
107,1209,236070,1.271,72582,3.25,38.4,0.167,13.4,80.3,0.52,1.18,1170,8,13,"{'tl_len': 238, 'vol_mult': 0.0, 'stop_mult': 1.8, 'act_R': 3.0, 'trail_frac': 2.0, 'buf_atr': 0.1, 'min_brk': 2.0, 'ema_len': 260, 'atr_len': 156, 'regime_len': 15, 'cooldown_bars': 215, 'freeze_overnight': True, 'breakeven_R': 0.0}"
108,1307,64761,1.183,39632,1.63,15.4,0.155,13.4,86.8,0.24,0.97,321,6,13,"{'tl_len': 178, 'vol_mult': 4.5, 'stop_mult': 0.9, 'act_R': 1.0, 'trail_frac': 4.0, 'buf_atr': 0.8, 'min_brk': 0.0, 'ema_len': 1620, 'atr_len': 28, 'regime_len': 10, 'cooldown_bars': 140, 'freeze_overnight': True, 'breakeven_R': 2.5}"
109,3110,68823,1.085,65305,1.05,24.6,0.064,13.3,206.5,0.25,0.62,345,5,13,"{'tl_len': 110, 'vol_mult': 3.3, 'stop_mult': 1.1, 'act_R': 0.0, 'trail_frac': 2.0, 'buf_atr': 0.95, 'min_brk': 2.7, 'ema_len': 380, 'atr_len': 128, 'regime_len': 0, 'cooldown_bars': 220, 'freeze_overnight': True, 'breakeven_R': 1.0}"
110,1192,143366,1.241,38821,3.69,31.3,0.166,13.1,79.1,0.45,1.11,725,7,14,"{'tl_len': 234, 'vol_mult': 2.0, 'stop_mult': 1.5, 'act_R': 1.5, 'trail_frac': 3.0, 'buf_atr': 0.1, 'min_brk': 0.7, 'ema_len': 1620, 'atr_len': 36, 'regime_len': 90, 'cooldown_bars': 240, 'freeze_overnight': False, 'breakeven_R': 0.0}"
111,4505,33613,1.052,30810,1.09,17.1,0.043,12.9,299.1,0.17,0.56,172,4,13,"{'tl_len': 266, 'vol_mult': 2.8, 'stop_mult': 0.3, 'act_R': 1.5, 'trail_frac': 1.5, 'buf_atr': 0.8, 'min_brk': 1.2, 'ema_len': 220, 'atr_len': 76, 'regime_len': 85, 'cooldown_bars': 130, 'freeze_overnight': False, 'breakeven_R': 0.0}"
112,2453,74826,1.116,37515,1.99,32.7,0.078,12.7,162.8,0.3,0.72,390,6,17,"{'tl_len': 190, 'vol_mult': 1.8, 'stop_mult': 1.0, 'act_R': 0.5, 'trail_frac': 1.5, 'buf_atr': 0.05, 'min_brk': 3.0, 'ema_len': 1420, 'atr_len': 124, 'regime_len': 65, 'cooldown_bars': 235, 'freeze_overnight': False, 'breakeven_R': 1.5}"
113,2670,71721,1.108,21389,3.35,35.2,0.07,12.4,177.2,0.34,0.68,385,5,13,"{'tl_len': 130, 'vol_mult': 2.6, 'stop_mult': 1.4, 'act_R': 1.0, 'trail_frac': 2.0, 'buf_atr': 0.6, 'min_brk': 0.9, 'ema_len': 1340, 'atr_len': 36, 'regime_len': 70, 'cooldown_bars': 95, 'freeze_overnight': False, 'breakeven_R': 0.0}"
114,965,177349,1.262,65777,2.7,27.3,0.191,12.2,64.1,0.4,1.12,964,6,13,"{'tl_len': 182, 'vol_mult': 1.6, 'stop_mult': 1.4, 'act_R': 1.0, 'trail_frac': 4.0, 'buf_atr': 0.8, 'min_brk': 2.9, 'ema_len': 340, 'atr_len': 120, 'regime_len': 10, 'cooldown_bars': 90, 'freeze_overnight': False, 'breakeven_R': 0.0}"
115,1350,201216,1.246,50016,4.02,45.9,0.133,11.9,89.6,0.54,0.93,1121,8,15,"{'tl_len': 294, 'vol_mult': 1.5, 'stop_mult': 1.9, 'act_R': 2.0, 'trail_frac': 1.5, 'buf_atr': 1.0, 'min_brk': 0.7, 'ema_len': 1260, 'atr_len': 60, 'regime_len': 80, 'cooldown_bars': 40, 'freeze_overnight': False, 'breakeven_R': 1.5}"
116,1629,144003,1.175,42145,3.42,37.7,0.109,11.8,108.1,0.46,0.95,810,6,15,"{'tl_len': 230, 'vol_mult': 3.6, 'stop_mult': 1.6, 'act_R': 2.0, 'trail_frac': 2.5, 'buf_atr': 0.4, 'min_brk': 1.7, 'ema_len': 180, 'atr_len': 64, 'regime_len': 100, 'cooldown_bars': 15, 'freeze_overnight': False, 'breakeven_R': 2.5}"
