run,famKey,strategy,instrument,timeframe,verdict,source,stretch,n,years,pf,win_pct,evr,ryr,net,dd,wf_years_src,params
210,ORB,ORB_3_4_P080.py,NQ,5m,FAIL,champion,pre,2583,15.1,1.12,26.5,0.088,15.1,35499,16760,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.0, ""vpace_filter"": 0.8, ""vol_filter"": 0.0, ""flat_eod"": false, ""close_confirm"": false, ""or_bars"": 1, ""stop_frac"": 0.75, ""trail_bars"": 5, ""target_R"": 0.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.0}"
211,ORB,ORB_3_4_P110.py,NQ,5m,FAIL,champion,pre,1642,15.1,1.073,26.4,0.054,5.9,13714,18786,optimize window,"{""skip_holidays"": false, ""breakout_buf"": 0.0, ""vpace_filter"": 1.1, ""vol_filter"": 0.0, ""flat_eod"": true, ""close_confirm"": false, ""or_bars"": 1, ""stop_frac"": 0.75, ""trail_bars"": 5, ""target_R"": 0.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.0}"
212,ORB,ORB_3_4_P100.py,NQ,5m,WEAK,champion,pre,2029,15.1,1.088,26.0,0.065,8.7,20497,17688,optimize window,"{""skip_holidays"": false, ""breakout_buf"": 0.0, ""vpace_filter"": 1.0, ""vol_filter"": 0.0, ""flat_eod"": true, ""close_confirm"": false, ""or_bars"": 1, ""stop_frac"": 0.75, ""trail_bars"": 5, ""target_R"": 0.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.0}"
213,ORB,ORB_3_4.py,NQ,5m,PASS,champion,pre,1785,15.1,1.106,48.2,0.055,6.5,54449,26796,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""trail_bars"": 3, ""target_R"": 5.5, ""partial_exit_R"": 3.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
220,ORB,ORB_3_4_BASE.py,NQ,5m,WEAK,champion,pre,2908,15.1,1.09,27.5,0.065,12.5,29926,28837,optimize window,"{""skip_holidays"": false, ""breakout_buf"": 0.0, ""vpace_filter"": 0.0, ""vol_filter"": 0.0, ""flat_eod"": true, ""close_confirm"": false, ""or_bars"": 1, ""stop_frac"": 0.75, ""trail_bars"": 5, ""target_R"": 0.0, ""partial_exit_R"": 0.0, ""trade_mode"": ""Both"", ""atr_filter"": 0.0}"
221,ORB,ORB_3_4.py,NQ,5m,PASS,champion,pre,1785,15.1,1.106,48.2,0.055,6.5,54449,26796,optimize window,"{""skip_holidays"": true, ""breakout_buf"": 0.25, ""vpace_filter"": 0.7, ""close_confirm"": true, ""flat_eod"": true, ""or_bars"": 2, ""stop_frac"": 2.0, ""trail_bars"": 3, ""target_R"": 5.5, ""partial_exit_R"": 3.0, ""trade_mode"": ""First-candle dir"", ""atr_filter"": 0.7}"
222,ORB,ORB_3_5_LD.py,NQ,5m,FAIL,champion,pre,2750,15.1,1.149,23.1,0.115,20.8,46025,22908,optimize window,"{""close_confirm"": false, ""vpace_filter"": 0.6, ""stop_frac"": 0.5, ""gap_min"": 0.0, ""target_R"": 0.0, ""atr_filter"": 0.0, ""skip_holidays"": false, ""breakout_buf"": 0.0, ""orw_min"": 0.0, ""entry_cutoff"": 4, ""flat_eod"": true, ""or_bars"": 1, ""trail_bars"": 8, ""partial_exit_R"": 0.0, ""trade_mode"": ""Both""}"
223,ENGU-Q,ENGUQ_1M_1_0.py,NQ,1m,WEAK,champion,pre,689,15.1,1.879,24.1,0.667,30.4,261758,42014,optimize window,"{""buf_atr"": 0.85, ""vol_mult"": 0.9, ""ema_len"": 270, ""tl_len"": 49, ""stop_mult"": 1.2, ""trail_frac"": 4.0, ""regime_len"": 0, ""min_brk"": 0.7, ""breakeven_R"": 2.0, ""atr_len"": 5, ""act_R"": 2.0}"
224,ENGU-Q,ENGUQ_1M_1_0.py,NQ,2m,WEAK,champion,pre,385,15.1,1.994,29.9,0.697,17.8,208206,15267,optimize window,"{""buf_atr"": 0.1, ""vol_mult"": 0.5, ""ema_len"": 200, ""tl_len"": 64, ""stop_mult"": 1.0, ""trail_frac"": 3.0, ""regime_len"": 95, ""min_brk"": 1.7, ""breakeven_R"": 3.0, ""atr_len"": 46, ""act_R"": 1.0}"
225,NOISE,NOISE_1_0.py,NQ,5m,PASS,champion,pre,3872,14.68,1.174,34.7,0.114,30.1,96611,16827,optimize window,"{""skip_holidays"": false, ""stop_mode"": ""bandwidth"", ""window"": ""all_day"", ""flat_eod"": true, ""lookback"": 44, ""side"": ""Both"", ""band_mult_long"": 0.75, ""stop_k"": 1.75, ""exit_mode"": ""vwap"", ""band_mult_short"": 1.5}"
