rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
47,1997,127587,1.408,16850,7.57,25.9,0.302,40.1,132.6,0.85,2.59,212,5,4,"{'lookback': 10, 'band_mult_long': 1.5, 'band_mult_short': 0.75, 'exit_mode': 'band', 'side': 'Both', 'window': 'afternoon_block', 'flat_eod': True, 'skip_holidays': True, 'stop_mode': 'bandwidth', 'confirm_bars': 2, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.4, 'daytype_hi': 0.65, 'vol_skip_pct': 80.0, 'stop_k': 1.25}"
48,1046,86214,1.74,9303,9.27,24.1,0.562,39.1,69.5,1.01,3.6,147,8,3,"{'lookback': 93, 'band_mult_long': 0.75, 'band_mult_short': 1.5, 'exit_mode': 'vwap', 'side': 'Long Only', 'window': 'morning', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'bandwidth', 'confirm_bars': 2, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.1, 'daytype_hi': 0.8, 'vol_skip_pct': 63.0, 'stop_k': 0.25}"
49,1175,66368,1.644,5266,12.6,22.6,0.498,38.9,78.0,0.9,2.56,113,7,4,"{'lookback': 108, 'band_mult_long': 1.25, 'band_mult_short': 1.0, 'exit_mode': 'boundary', 'side': 'Long Only', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'bandwidth', 'confirm_bars': 4, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.3, 'daytype_hi': 0.8, 'vol_skip_pct': 68.0, 'stop_k': 2.0}"
50,2776,143838,1.328,11996,11.99,36.0,0.21,38.8,184.4,0.96,1.99,246,7,5,"{'lookback': 83, 'band_mult_long': 0.5, 'band_mult_short': 1.75, 'exit_mode': 'vwap', 'side': 'Long Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'off', 'confirm_bars': 2, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.25, 'daytype_hi': 0.7, 'vol_skip_pct': 68.0, 'stop_k': 3.0}"
51,1110,104587,1.766,8459,12.36,32.6,0.516,38.0,73.7,1.12,3.03,183,7,4,"{'lookback': 113, 'band_mult_long': 1.0, 'band_mult_short': 1.5, 'exit_mode': 'band', 'side': 'Long Only', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'fixed', 'confirm_bars': 2, 'daytype_mode': 'skip_bot_all', 'daytype_lo': 0.25, 'daytype_hi': 0.85, 'vol_skip_pct': 69.0, 'stop_k': 1.75}"
52,2102,65899,1.353,12221,5.39,23.1,0.272,37.9,139.6,0.68,1.88,115,6,5,"{'lookback': 8, 'band_mult_long': 2.0, 'band_mult_short': 2.0, 'exit_mode': 'boundary', 'side': 'Both', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.1, 'daytype_hi': 0.65, 'vol_skip_pct': 77.0, 'stop_k': 3.25}"
53,2086,142230,1.381,18898,7.53,28.1,0.274,37.9,138.5,0.91,2.46,249,6,5,"{'lookback': 112, 'band_mult_long': 1.0, 'band_mult_short': 0.75, 'exit_mode': 'band', 'side': 'Both', 'window': 'all_day', 'flat_eod': True, 'skip_holidays': False, 'stop_mode': 'bandwidth', 'confirm_bars': 3, 'daytype_mode': 'off', 'daytype_lo': 0.05, 'daytype_hi': 0.6, 'vol_skip_pct': 56.0, 'stop_k': 1.75}"
54,2772,91978,1.247,17390,5.29,16.9,0.205,37.7,184.1,0.57,1.67,162,6,7,"{'lookback': 14, 'band_mult_long': 2.25, 'band_mult_short': 1.0, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'all_day', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'atr', 'confirm_bars': 3, 'daytype_mode': 'skip_bot_short', 'daytype_lo': 0.15, 'daytype_hi': 0.7, 'vol_skip_pct': 98.0, 'stop_k': 0.75}"
55,2011,85566,1.332,18628,4.59,15.4,0.281,37.5,133.6,0.59,1.96,152,7,5,"{'lookback': 34, 'band_mult_long': 0.5, 'band_mult_short': 1.0, 'exit_mode': 'boundary', 'side': 'Short Only', 'window': 'morning', 'flat_eod': False, 'skip_holidays': False, 'stop_mode': 'atr', 'confirm_bars': 2, 'daytype_mode': 'skip_top_long', 'daytype_lo': 0.1, 'daytype_hi': 0.8, 'vol_skip_pct': 88.0, 'stop_k': 2.75}"
56,2115,117379,1.352,20336,5.77,24.8,0.265,37.2,140.5,0.73,2.16,210,6,2,"{'lookback': 100, 'band_mult_long': 1.75, 'band_mult_short': 1.0, 'exit_mode': 'band', 'side': 'Both', 'window': 'morning', 'flat_eod': False, 'skip_holidays': True, 'stop_mode': 'atr', 'confirm_bars': 1, 'daytype_mode': 'off', 'daytype_lo': 0.15, 'daytype_hi': 0.8, 'vol_skip_pct': 79.0, 'stop_k': 2.0}"
