rank,n,net,pf,dd,mar,win,evr,ryr,tpy,sh,so,avl,folds8,secs,params
134,599,-5389,0.937,14768,-0.36,9.5,-0.057,-2.3,39.8,-0.08,-0.19,158,5,34,"{'er_len': 120, 'er_th': 0.1, 'limit_atr': 0.15, 'tl_len': 234, 'vol_mult': 4.8, 'stop_mult': 0.3, 'act_R': 2.5, 'trail_frac': 2.0, 'buf_atr': 0.0, 'min_brk': 2.6, 'ema_len': 1460, 'atr_len': 84, 'regime_len': 75, 'breakeven_R': 1.0}"
135,890,-10423,0.923,31567,-0.33,14.7,-0.066,-3.9,59.1,-0.12,-0.3,179,2,17,"{'er_len': 80, 'er_th': 0.1, 'limit_atr': 0.1, 'tl_len': 86, 'vol_mult': 3.7, 'stop_mult': 0.6, 'act_R': 0.0, 'trail_frac': 2.5, 'buf_atr': 0.15, 'min_brk': 1.1, 'ema_len': 580, 'atr_len': 40, 'regime_len': 90, 'breakeven_R': 1.0}"
136,4143,-18375,0.956,45883,-0.4,11.9,-0.038,-10.6,275.0,-0.11,-0.29,116,3,26,"{'er_len': 50, 'er_th': 0.1, 'limit_atr': 0.5, 'tl_len': 50, 'vol_mult': 1.1, 'stop_mult': 1.0, 'act_R': 1.0, 'trail_frac': 2.5, 'buf_atr': 0.75, 'min_brk': 2.5, 'ema_len': 1540, 'atr_len': 60, 'regime_len': 100, 'breakeven_R': 0.5}"
137,2123,-28161,0.877,39704,-0.71,22.8,-0.095,-13.4,140.9,-0.37,-0.86,140,3,23,"{'er_len': 30, 'er_th': 0.25, 'limit_atr': 0.75, 'tl_len': 214, 'vol_mult': 3.4, 'stop_mult': 0.3, 'act_R': 1.0, 'trail_frac': 0.5, 'buf_atr': 0.9, 'min_brk': 0.7, 'ema_len': 1060, 'atr_len': 72, 'regime_len': 55, 'breakeven_R': 3.0}"
138,1937,-34631,0.86,42343,-0.82,14.9,-0.119,-15.3,128.6,-0.33,-0.87,150,2,29,"{'er_len': 100, 'er_th': 0.0, 'limit_atr': 0.25, 'tl_len': 298, 'vol_mult': 4.1, 'stop_mult': 0.3, 'act_R': 1.5, 'trail_frac': 1.5, 'buf_atr': 0.55, 'min_brk': 2.8, 'ema_len': 1540, 'atr_len': 164, 'regime_len': 65, 'breakeven_R': 0.0}"
139,1924,-32084,0.803,38834,-0.83,31.9,-0.134,-17.2,127.7,-0.6,-1.11,124,1,32,"{'er_len': 60, 'er_th': 0.15, 'limit_atr': 0.75, 'tl_len': 190, 'vol_mult': 3.4, 'stop_mult': 0.6, 'act_R': 0.0, 'trail_frac': 0.5, 'buf_atr': 0.55, 'min_brk': 2.5, 'ema_len': 580, 'atr_len': 92, 'regime_len': 95, 'breakeven_R': 3.0}"
140,3409,-42624,0.908,77455,-0.55,14.6,-0.079,-17.8,226.3,-0.27,-0.47,159,2,30,"{'er_len': 30, 'er_th': 0.0, 'limit_atr': 0.85, 'tl_len': 158, 'vol_mult': 2.6, 'stop_mult': 1.7, 'act_R': 2.5, 'trail_frac': 0.5, 'buf_atr': 0.25, 'min_brk': 2.8, 'ema_len': 980, 'atr_len': 20, 'regime_len': 95, 'breakeven_R': 0.5}"
141,1864,-38948,0.809,52786,-0.74,15.6,-0.161,-20.0,123.7,-0.42,-0.86,129,2,28,"{'er_len': 40, 'er_th': 0.05, 'limit_atr': 0.15, 'tl_len': 94, 'vol_mult': 4.7, 'stop_mult': 0.8, 'act_R': 2.0, 'trail_frac': 2.0, 'buf_atr': 0.45, 'min_brk': 1.8, 'ema_len': 220, 'atr_len': 104, 'regime_len': 10, 'breakeven_R': 0.5}"
142,26,146,1.009,10186,0.01,19.2,0.007,0.0,1.7,0.0,0.01,799,2,27,"{'er_len': 120, 'er_th': 0.3, 'limit_atr': 0.6, 'tl_len': 266, 'vol_mult': 4.0, 'stop_mult': 1.5, 'act_R': 1.0, 'trail_frac': 3.5, 'buf_atr': 0.65, 'min_brk': 2.7, 'ema_len': 500, 'atr_len': 36, 'regime_len': 15, 'breakeven_R': 0.5}"
143,0,,,,,,,,,,,,,,"{'er_len': 90, 'er_th': 0.5, 'limit_atr': 0.4, 'tl_len': 158, 'vol_mult': 3.1, 'stop_mult': 0.4, 'act_R': 3.0, 'trail_frac': 0.5, 'buf_atr': 0.85, 'min_brk': 2.4, 'ema_len': 1340, 'atr_len': 20, 'regime_len': 75, 'breakeven_R': 0.0}"
144,17,-235,0.957,3158,-0.07,17.6,-0.035,-0.0,1.1,-0.01,-0.02,393,2,28,"{'er_len': 70, 'er_th': 0.45, 'limit_atr': 0.95, 'tl_len': 298, 'vol_mult': 4.5, 'stop_mult': 0.9, 'act_R': 2.0, 'trail_frac': 4.0, 'buf_atr': 0.7, 'min_brk': 2.9, 'ema_len': 340, 'atr_len': 60, 'regime_len': 60, 'breakeven_R': 0.5}"
145,12,71,1.006,7512,0.01,25.0,0.005,0.0,0.8,0.0,0.0,1276,2,20,"{'er_len': 80, 'er_th': 0.45, 'limit_atr': 0.25, 'tl_len': 250, 'vol_mult': 4.7, 'stop_mult': 1.4, 'act_R': 2.0, 'trail_frac': 0.5, 'buf_atr': 0.75, 'min_brk': 2.5, 'ema_len': 1180, 'atr_len': 60, 'regime_len': 90, 'breakeven_R': 1.0}"
146,0,,,,,,,,,,,,,,"{'er_len': 120, 'er_th': 0.45, 'limit_atr': 0.5, 'tl_len': 154, 'vol_mult': 2.2, 'stop_mult': 1.1, 'act_R': 0.5, 'trail_frac': 3.5, 'buf_atr': 0.45, 'min_brk': 2.4, 'ema_len': 1340, 'atr_len': 36, 'regime_len': 70, 'breakeven_R': 1.0}"
147,10,427,1.098,4341,0.1,30.0,0.069,0.0,0.7,0.02,0.04,622,3,18,"{'er_len': 90, 'er_th': 0.4, 'limit_atr': 0.95, 'tl_len': 270, 'vol_mult': 4.7, 'stop_mult': 1.3, 'act_R': 1.5, 'trail_frac': 4.0, 'buf_atr': 0.65, 'min_brk': 1.0, 'ema_len': 900, 'atr_len': 100, 'regime_len': 60, 'breakeven_R': 0.5}"
148,11,-311,0.967,8679,-0.04,27.3,-0.024,-0.0,0.7,-0.01,-0.01,1163,3,29,"{'er_len': 110, 'er_th': 0.45, 'limit_atr': 0.15, 'tl_len': 298, 'vol_mult': 0.6, 'stop_mult': 0.7, 'act_R': 2.0, 'trail_frac': 4.0, 'buf_atr': 0.95, 'min_brk': 1.3, 'ema_len': 1340, 'atr_len': 88, 'regime_len': 10, 'breakeven_R': 0.5}"
149,1,5223,inf,0,99,100.0,nan,nan,0.1,0,0,0,0,24,"{'er_len': 110, 'er_th': 0.5, 'limit_atr': 0.35, 'tl_len': 178, 'vol_mult': 1.1, 'stop_mult': 1.7, 'act_R': 0.5, 'trail_frac': 1.5, 'buf_atr': 0.4, 'min_brk': 1.5, 'ema_len': 1220, 'atr_len': 24, 'regime_len': 10, 'breakeven_R': 1.0}"
