rid,fam,strategy,instrument,lb_from,lb_to,years,mult,n_cands,n_curves,n_idle,n_unknown,n_weight,crown_net,crown_pf,crown_dd,crown_mar,pool_net,pool_pf,pool_dd,pool_mar,top3_net,top3_pf,top3_dd,top3_mar,rand_net,rand_pf,rand_dd,rand_mar,dd_thinning_gap,profit_corr,frozen_share,mean_param_dist,near_dupe_pairs,exact_dupe_pairs,distinct_configs,distinct_curves,identical_curve_pairs
199,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,67492.0,1.9066,-8102.0,8.336,66051.0,1.8905,-8101.4,8.1586,68042.6667,1.9213,-8101.3333,8.4047,66051.0,1.8886,-8101.4,8.1586,,0.9938,0.7778,0.4059,0,0,10,10,0
200,ORB,ORB_3_0_ENS.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,67492.0,1.9066,-8102.0,8.336,66051.0,1.8905,-8101.4,8.1586,68042.6667,1.9213,-8101.3333,8.4047,66051.0,1.8886,-8101.4,8.1586,,0.9938,0.7778,0.4059,0,0,10,10,0
201,TTIBS,TTIBS_1_0.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,5,0,0,5,26864.0,1.2279,-45010.0,0.5973,7964.0,1.0628,-49250.0,0.1618,12959.3333,1.104,-46859.3333,0.2767,7964.0,1.0688,-52634.4,0.1901,,0.9146,0.7143,0.0937,2,0,4,5,0
202,NOISE,NOISE_1_0.py,NQ,2025-01-15,2026-07-16,1.4976,20.0,10,10,0,0,10,41824.0,1.3575,-21580.0,1.2941,11163.0,1.1035,-22997.4,0.3241,15258.6667,1.1334,-24547.3333,0.4151,11163.0,1.1011,-27045.0,0.3037,,0.5561,0.3,0.4145,1,0,9,10,0
203,NOISE,NOISE_1_0.py,NQ,2025-01-15,2026-07-16,1.4976,20.0,10,10,0,0,10,39508.0,1.3343,-21782.0,1.2111,6712.6,1.0631,-20025.6,0.2238,19700.0,1.1646,-23651.3333,0.5562,6712.6,1.0683,-25468.0,0.2383,,0.4386,0.3,0.4584,0,0,10,10,0
205,ORB,ORB_3_1_125.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,8,8,0,0,8,55758.0,2.1652,-6040.0,9.2378,30175.5,1.6105,-7317.0,4.1269,55510.6667,2.1593,-6040.0,9.1968,30175.5,1.6236,-11860.0,4.7287,,0.882,0.75,0.5714,0,0,8,4,4
206,ORB,ORB_3_1_125C.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,8,8,0,0,8,55758.0,2.1652,-6040.0,9.2378,30175.5,1.6105,-7317.0,4.1269,55510.6667,2.1593,-6040.0,9.1968,30175.5,1.6236,-11860.0,4.7287,,0.882,0.75,0.5714,0,0,8,4,4
207,ORB,ORB_3_1_125C.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,8,8,0,0,8,55758.0,2.1652,-6040.0,9.2378,30175.5,1.6105,-7317.0,4.1269,55510.6667,2.1593,-6040.0,9.1968,30175.5,1.6236,-11860.0,4.7287,,0.882,0.75,0.5714,0,0,8,4,4
208,ORB,ORB_3_1_125C.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,8,8,0,0,8,55758.0,2.1652,-6040.0,9.2378,30175.5,1.6105,-7317.0,4.1269,55510.6667,2.1593,-6040.0,9.1968,30175.5,1.6236,-11860.0,4.7287,,0.882,0.75,0.5714,0,0,8,4,4
209,ORB,ORB_3_4.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,10,10,0,0,10,70434.0,1.773,-29248.0,2.4098,63478.0,2.0184,-5777.0,10.9956,78606.6667,2.0548,-8534.0,9.2173,63478.0,1.8949,-16003.2,4.2124,,0.6247,0.0769,0.296,0,0,10,10,0
210,ORB,ORB_3_4_P080.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,8,8,0,0,8,27190.0,1.4164,-32010.0,0.85,18219.0,1.257,-25030.0,0.7284,27190.0,1.4164,-32010.0,0.85,18219.0,1.2659,-26867.0,0.638,,0.8737,0.7692,0.5714,0,0,8,2,12
213,ORB,ORB_3_4.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,10,10,0,0,10,62174.0,1.5794,-27994.0,2.2225,46185.8,1.5195,-9149.0,5.0516,58567.3333,1.6281,-13825.3333,4.2391,46185.8,1.4671,-18361.6,2.8513,,0.5585,0.1667,0.3008,0,0,10,10,0
221,ORB,ORB_3_4.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,10,10,0,0,10,62174.0,1.5794,-27994.0,2.2225,46185.8,1.5195,-9149.0,5.0516,58567.3333,1.6281,-13825.3333,4.2391,46185.8,1.4671,-18361.6,2.8513,,0.5585,0.1667,0.3008,0,0,10,10,0
222,ORB,ORB_3_5_LD.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,10,10,0,0,10,21526.0,1.2626,-32516.0,0.6625,24274.2,1.3021,-30207.4,0.8041,24184.0,1.3034,-31171.3333,0.7764,24274.2,1.2996,-31241.2,0.7972,,0.8995,0.7333,0.1427,4,0,7,10,0
223,ENGU-Q,ENGUQ_1M_1_0.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,5,0,0,5,47698.0,1.2643,-59932.0,0.7964,55241.6,1.3431,-60284.8,0.917,46700.0,1.2713,-67268.6667,0.6947,55241.6,1.3803,-66079.6,0.9485,,0.6326,0.0,0.3106,0,0,5,5,0
224,ENGU-Q,ENGUQ_1M_1_0.py,NQ,2025-07-16,2026-07-16,0.9993,20.0,5,5,0,0,5,3796.0,1.048,-70040.0,0.0542,21950.8,1.3711,-37242.8,0.5898,12686.0,1.1841,-40536.0,0.3132,21950.8,1.5049,-42929.6,0.7877,,0.5819,0.0,0.3543,0,0,5,5,0
225,NOISE,NOISE_1_0.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,23146.0,1.1947,-23230.0,0.6653,10846.4,1.1079,-20002.6,0.3621,9308.6667,1.0795,-25892.6667,0.2401,10846.4,1.1053,-23842.4,0.406,,0.5569,0.3,0.4439,0,0,10,10,0
228,ORB,ORB_3_5.py,NQ,2025-08-13,2026-08-13,0.9993,20.0,10,10,0,0,10,10390.0,1.0819,-45114.0,0.2305,32794.0,1.2883,-16555.4,1.9822,32515.3333,1.2535,-21409.3333,1.5198,32794.0,1.2608,-28467.8,1.5132,,0.3124,0.1333,0.3076,0,0,10,10,0
231,NOISE,NOISE_1_0.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,36284.0,1.2996,-31662.0,0.7652,21692.6,1.2018,-29865.6,0.485,23261.3333,1.1968,-35696.6667,0.4351,21692.6,1.1869,-33272.6,0.4679,-0.0345,0.529,0.3,0.4439,0,0,10,10,0
237,NOISE,NOISE_1_0.py,NQ,2025-02-11,2026-08-12,1.4976,20.0,10,10,0,0,10,19468.0,1.1796,-19244.0,0.6755,33658.0,1.3637,-14791.2,1.5195,49560.0,1.5126,-13885.3333,2.3833,33658.0,1.3232,-19220.8,1.1578,-0.0259,0.4527,0.0667,0.4317,0,0,10,10,0
247,ENGU-Q,ENGUQ_1M_ETH_TRAIL_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,5,5,0,0,5,64968.0,1.3935,-41806.0,1.5551,78622.4,1.5187,-36326.8,2.1658,76752.0,1.5036,-35514.6667,2.1626,78622.4,1.5136,-37126.4,2.1553,-0.133,0.7943,0.9091,0.48,0,0,5,5,0
264,ORB,ORB_3_6.py,NQ,2025-08-13,2026-08-13,0.9993,20.0,10,10,0,0,10,-9752.0,0.9378,-37914.0,-0.2574,34131.8,1.308,-16711.0,2.0439,41380.0,1.3376,-15463.3333,2.6778,34131.8,1.3231,-29386.0,1.8661,-0.1123,0.4729,0.0,0.3329,0,0,10,10,0
268,TTMSQZ,TTMSQZ_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,-22462.0,0.8254,-48442.0,-0.464,-15227.2,0.8322,-31686.8,-0.4809,-31312.6667,0.7547,-52506.6667,-0.5968,-15227.2,1.0518,-40184.4,0.0222,0.0,0.3463,0.0,0.283,0,0,10,10,0
269,TTMSQZ,TTMSQZ_1_0.py,ES,2025-06-30,2026-06-30,0.9993,50.0,10,10,0,0,10,-18475.0,0.7016,-30470.0,-0.6067,-10551.0,0.7741,-17464.0,-0.6046,-3618.3333,0.9173,-14533.3333,-0.2491,-10551.0,0.8516,-20606.0,-0.3235,0.0,0.3305,0.1111,0.4017,0,0,10,10,0
270,TTMSQZ,TTMSQZ_1_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,-3300.0,0.9553,-24536.0,-0.1346,-727.4,0.9873,-17921.8,-0.0406,-1497.3333,0.977,-22610.6667,-0.0663,-727.4,1.0781,-24902.4,0.2033,0.0,0.2706,0.0,0.2554,0,0,10,10,0
272,TTMSQZ,TTMSQZ_2_0.py,NQ,2025-06-30,2026-06-30,0.9993,20.0,10,10,0,0,10,1736.0,2.1376,-1170.0,1.4848,2259.0,1.4679,-2439.8,0.9265,1492.6667,1.4467,-1650.6667,0.9049,2259.0,1.334,-3879.2,0.594,-0.0011,0.0684,0.0,0.4258,0,0,10,10,0
