famKey,param,label,n_runs,kind,declared_lo,declared_hi,step,n_declared_variants,widest_lo,widest_hi,steps,modal_value,pin_at,median_value,iqr_frac,median_pos,edge_rate,lo_edge_share,hi_edge_share,n_power,med_pps,med_mi,med_absr,drift_rho,n_sanity,share_finalists_all_same,share_best_worst_differ,med_finalist_distinct,recommendation,reason,widen_lo,widen_hi,freeze_is_artifact
RSIDIV,lb_right,Pivot lookback right,1,range,1.0,10.0,1.0,1,1.0,10.0,10,10.0,10.0,10.0,,1.0,1.0,0.0,1.0,1,0.0,0.042,0.128,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,max_pyramid,Max stacked entries,1,range,1.0,4.0,1.0,1,1.0,4.0,4,4.0,4.0,4.0,,1.0,1.0,0.0,1.0,1,0.0,0.177,0.34,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,range_lower,Divergence range -- min bars,1,range,1.0,30.0,1.0,1,1.0,30.0,30,7.0,7.0,7.0,,0.20689655172413793,0.0,0.0,0.0,1,0.0,0.063,0.366,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,range_upper,Divergence range -- max bars,1,range,20.0,150.0,1.0,1,20.0,150.0,131,71.0,71.0,71.0,,0.3923076923076923,0.0,0.0,0.0,1,0.0,0.107,0.107,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,rsi_len,RSI period,1,range,2.0,30.0,1.0,1,2.0,30.0,29,10.0,10.0,10.0,,0.2857142857142857,0.0,0.0,0.0,1,0.0,0.045,0.061,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,stop_loss,Stop loss % (or ATR multiplier),1,range,1.0,20.0,0.5,1,1.0,20.0,39,12.5,12.5,12.5,,0.6052631578947368,0.0,0.0,0.0,1,0.0,0.111,0.245,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,tp_rsi_level,Take-profit RSI level,1,range,70.0,95.0,1.0,1,70.0,95.0,26,83.0,83.0,83.0,,0.52,0.0,0.0,0.0,1,0.0,0.0,0.113,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
RSIDIV,use_hidden_bull,Include hidden bullish divergence,1,switch,0.0,1.0,,1,0.0,1.0,2,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0,,,,,0,,,,UNCLEAR,only 1 crowned runs; needs 4 more,,,False
TTIBS,ma200,200-session regime filter,12,switch,0.0,1.0,,1,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,,,,,7,1.0,0.0,1.0,FREEZE,"an on/off switch crowned the same way in all 12 runs; the search is paying for a setting it never changes -- BUT the finalists never varied it in 100% of runs, so the zero-power reading is partly an artifact",,,True
TTIBS,mon_drop,Monday drop threshold (fraction),12,range,0.0,0.05,0.0025,1,0.0,0.05,21,0.01,0.01,0.01,0.0,0.19999999999999998,0.0,0.0,0.0,12,0.0,0.098,0.09,,7,1.0,0.0,1.0,FREEZE,"predictive power 0 over 12 runs and the crown moves across only 0% of the range -- BUT the finalists never varied it in 100% of runs, so the zero-power reading is partly an artifact",,,True
