ticker,accepted_et,items
NVDA,2014-02-12 16:23,"2.02,9.01"
TSLA,2014-02-19 16:06,"2.02,9.01"
GOOGL,2014-04-16 16:02,"2.02,9.01"
META,2014-04-23 16:04,"2.02,5.02,9.01"
AAPL,2014-04-23 16:31,"2.02,9.01"
MSFT,2014-04-24 16:03,"2.02,9.01"
AMZN,2014-04-24 16:23,"2.02,9.01"
NVDA,2014-05-06 09:29,"2.02,9.01"
TSLA,2014-05-07 16:11,"2.02,9.01"
NVDA,2014-05-08 16:28,"2.02,9.01"
GOOGL,2014-07-17 16:08,"2.02,5.02,9.01"
MSFT,2014-07-22 16:04,"2.02,9.01"
AAPL,2014-07-22 16:31,"2.02,9.01"
META,2014-07-23 16:08,"2.02,9.01"
AMZN,2014-07-24 16:34,"2.02,9.01"
TSLA,2014-07-31 16:04,"2.02,9.01"
NVDA,2014-08-07 16:24,"2.02,9.01"
GOOGL,2014-10-16 16:01,"2.02,9.01"
AAPL,2014-10-20 16:30,"2.02,9.01"
MSFT,2014-10-23 16:06,"2.02,9.01"
AMZN,2014-10-23 16:07,"2.02,9.01"
META,2014-10-28 16:06,"2.02,9.01"
TSLA,2014-11-05 16:42,"2.02,9.01"
NVDA,2014-11-06 16:25,"2.02,9.01"
MSFT,2015-01-26 16:11,"2.02,9.01"
AAPL,2015-01-27 16:31,"2.02,9.01"
META,2015-01-28 16:03,"2.02,9.01"
GOOGL,2015-01-29 16:01,"2.02,9.01"
AMZN,2015-01-29 16:10,"2.02,9.01"
NVDA,2015-02-11 16:22,"2.02,9.01"
TSLA,2015-02-11 17:29,"2.02,9.01"
META,2015-04-22 16:10,"2.02,9.01"
GOOGL,2015-04-23 16:00,"2.02,9.01"
MSFT,2015-04-23 16:05,"2.02,9.01"
AMZN,2015-04-23 16:09,"2.02,7.01,9.01"
AAPL,2015-04-27 16:30,"2.02,9.01"
TSLA,2015-05-06 16:32,"2.02,9.01"
NVDA,2015-05-07 16:29,"2.02,9.01"
GOOGL,2015-07-16 16:00,"2.02,9.01"
MSFT,2015-07-21 16:06,"2.02,9.01"
AAPL,2015-07-21 16:30,"2.02,9.01"
AMZN,2015-07-23 16:26,"2.02,9.01"
META,2015-07-29 16:03,"2.02,9.01"
TSLA,2015-08-05 16:48,"2.02,9.01"
NVDA,2015-08-06 16:24,"2.02,9.01"
MSFT,2015-10-22 16:06,"2.02,9.01"
GOOGL,2015-10-22 16:09,"2.02,9.01"
AMZN,2015-10-22 16:24,"2.02,9.01"
AAPL,2015-10-27 16:30,"2.02,9.01"
TSLA,2015-11-03 16:06,"2.02,9.01"
META,2015-11-04 16:06,"2.02,9.01"
NVDA,2015-11-05 16:25,"2.02,9.01"
AAPL,2016-01-26 16:31,"2.02,9.01"
META,2016-01-27 16:07,"2.02,9.01"
MSFT,2016-01-28 16:07,"2.02,9.01"
AMZN,2016-01-28 16:27,"2.02,9.01"
GOOGL,2016-02-01 16:01,"2.02,9.01"
TSLA,2016-02-10 16:44,"1.01,2.02,9.01"
NVDA,2016-02-17 16:28,"2.02,9.01"
GOOGL,2016-04-21 16:01,"2.02,8.01,9.01"
MSFT,2016-04-21 16:07,"2.02,9.01"
AAPL,2016-04-26 16:31,"2.02,9.01"
META,2016-04-27 16:28,"2.02,8.01"
AMZN,2016-04-28 16:08,"2.02,9.01"
TSLA,2016-05-04 16:11,"2.02,9.01"
NVDA,2016-05-12 16:39,"2.02,9.01"
MSFT,2016-07-19 16:06,"2.02,9.01"
AAPL,2016-07-26 16:30,"2.02,9.01"
META,2016-07-27 16:13,"2.02,9.01"
GOOGL,2016-07-28 16:01,"2.02,8.01,9.01"
AMZN,2016-07-28 16:09,"2.02,9.01"
TSLA,2016-08-03 16:05,"2.02,9.01"
NVDA,2016-08-11 16:22,"2.02,9.01"
MSFT,2016-10-20 16:06,"2.02,9.01"
AAPL,2016-10-25 16:32,"2.02,9.01"
TSLA,2016-10-26 16:32,"2.02,9.01"
GOOGL,2016-10-27 16:01,"2.02,9.01"
AMZN,2016-10-27 16:11,"2.02,9.01"
META,2016-11-02 16:11,"2.02,9.01"
NVDA,2016-11-10 16:21,"2.02,9.01"
GOOGL,2017-01-26 16:03,"2.02,9.01"
MSFT,2017-01-26 16:07,"2.02,9.01"
AAPL,2017-01-31 16:31,"2.02,9.01"
META,2017-02-01 16:04,"2.02,9.01"
AMZN,2017-02-02 16:09,"2.02,9.01"
NVDA,2017-02-09 16:23,"2.02,9.01"
TSLA,2017-02-22 16:16,"2.02,9.01"
GOOGL,2017-04-27 16:02,"2.02,8.01,9.01"
AMZN,2017-04-27 16:06,"2.02,9.01"
